tier,brand,domain,focus,geo,source,list_count,notes,base_url,base_url_confidence,base_url_note,google_search_operator
1,Bird's Party,birdsparty.com,Party styling + printables + tutorials,US,both,3,Design-led styled shoots with strong theme coverage. | Sid: Themed party tutorials with DIY decor and free printables. Strong for decor and activation ideas.,https://www.blog.birdsparty.com/,high,Blog is hosted on subdomain blog.birdsparty.com ('Party Ideas | Party Printables Blog'); fetched and confirmed as the main party-ideas post index.,site:blog.birdsparty.com
1,Catch My Party,catchmyparty.com,User-submitted real party galleries,US,both,2,"Tens of thousands of real parties with photos, themes, supplies. Highest-volume idea source. | Sid: Largest archive of user submitted real parties, indexed by theme and occasion. Highest idea volume and easiest to map to your categories.",https://www.catchmyparty.com/parties,high,"'Parties' — broad index of 50,000+ user-submitted party ideas. Nav also labels it 'New Parties' (/search/party). Separate /blog exists but parties is the widest ideas listing.",site:catchmyparty.com/parties
1,Celebrations at Home,celebrationsathomeblog.com,Entertaining + party styling,US,both,2,"Home entertaining and seasonal parties. | Sid: Browse ideas by color, plus a full year of dinner party themes with tablescapes and menus.",https://celebrationsathomeblog.com/blog/,high,"'Blog' — broad all-posts index (Page 1 of 60), wider than the /party-ideas/ sub-category. Fetched and confirmed.",site:celebrationsathomeblog.com/blog
1,Hostess With The Mostess (HWTM),hwtm.com,Party ideas + printables + styling,US,both,3,"Long-running high-authority party blog. Deep archive. | Sid: Hostess with the Mostess, a long running source of themes, recipes, and DIY across party types.",https://www.hwtm.com/party-inspiration/,high,'HWTM Blog' / Party Inspiration — central hub for all party ideas posts. Fetched and confirmed.,site:hwtm.com/party-inspiration
1,Kara's Party Ideas,karaspartyideas.com,Themed party ideas + real party galleries,US,both,3,"Massive curated library of styled parties by theme. Top scraping target. | Sid: Enormous styled party library indexed by theme, character, and age, with deep decor, DIY, and food detail per event.",https://karaspartyideas.com/blog,high,'Blog' — main party ideas post feed with Load More pagination. Fetched and confirmed.,site:karaspartyideas.com/blog
1,Oh Happy Day,ohhappyday.com,Party DIY + design,US,both,2,"Iconic design-forward party DIYs. | Sid: Bold DIY, backdrops, and balloon installations. Strong for photo moment and decor ideas.",https://ohhappyday.com/category/party/,high,"'Party' category archive — grid of party/DIY posts, widest party listing. Fetched and confirmed.",site:ohhappyday.com/category/party
1,Pizzazzerie,pizzazzerie.com,Entertaining + tablescapes + parties,US,both,2,"Strong tablescape and hosting idea density. | Sid: Entertaining in style with polished tablescapes and party themes. Clean, scrapeable posts.",https://pizzazzerie.com/blog/,high,'Blog' — broad all-posts index (154+ pages of recipes/party ideas). Fetched and confirmed.,site:pizzazzerie.com/blog
1,Pretty My Party,prettymyparty.com,Party ideas + themes,US,both,2,"Theme-organized idea roundups. | Sid: Curated styled parties with clear theme, decor, and tablescape breakdowns across kids and adult events.",https://www.prettymyparty.com/category/party-ideas/,high,'Party Ideas' category — comprehensive hub across all occasions. Fetched and confirmed.,site:prettymyparty.com/category/party-ideas
1,Spaceships and Laser Beams,spaceshipsandlaserbeams.com,Kids parties + food,US,both,2,Boy-party and food-idea heavy. | Sid: Kids party themes paired with party food and recipes. High volume and well structured.,https://spaceshipsandlaserbeams.com/party-central,medium,"'Party Ideas Archives' (Party Central) — the party-ideas category index. Search consistently labels this URL as the archive, but the fetcher gets bot-blocked (404 to crawler) so not directly verified. Alt: /parties/party-central/.",site:spaceshipsandlaserbeams.com/party-central
1,Studio DIY,studiodiy.com,Colorful party DIY + design,US,both,1,High-authority colorful party/DIY brand. | Sid: Colorful statement DIY party projects. Good for unique decor and activation concepts.,https://studiodiy.com/category/holiday-2/,high,"Broad lifestyle blog; party content lives under the 'Celebrations' category (slug holiday-2), which resolves and paginates 37 pages of celebration/party posts across 13 subcategories (birthdays, baby, bridal, holidays).",site:studiodiy.com/category/holiday-2
1,The Party Darling,thepartydarling.com,Party inspiration + supplies,US,both,2,"Theme-based idea blog. | Sid: Styled tablescapes and themed kids parties, with the exact supplies used per look.",https://thepartydarling.com/blogs/the-party-darling-blog,high,"Shopify blog handle labeled 'Blog'. Verified: 'Party Planning & Party Inspiration Blog', lists themed party posts with pagination 1-20.",site:thepartydarling.com/blogs/the-party-darling-blog
1,Ablissfulnest,ablissfulnest.com,At-home party styling,US,sid-curated,0,Sid: Party styling built for hosting at home. Practical decor and setup ideas.,https://ablissfulnest.com/category/blissful-nest-parties/,high,"Broader lifestyle/design blog; 'Party Ideas' category under 'Entertaining' nav. Verified: 'Party Ideas Archives', lists 30+ party posts.",site:ablissfulnest.com/category/blissful-nest-parties
1,Amyatlas,blog.amyatlas.com,Dessert table styling,US,sid-curated,0,Sid: Dessert table specialist. Core source for Food and Beverage styling ideas.,https://blog.amyatlas.com/,high,"The whole site is the blog (Sweet Designs by Amy Atlas). Homepage is a chronological feed of party/dessert-table posts. Note: appears dormant, newest posts ~2016.",site:blog.amyatlas.com
1,Bizbash,bizbash.com,Pro event design + trend forecasting,US,sid-curated,0,Sid: Professional event design and trend forecasting. Best for corporate Event Production and 2026 trends.,https://www.bizbash.com/production-strategy/event-production-planning,medium,B2B event-industry magazine with no single unified 'all articles' index; content is split across topic hubs. Broadest ideas/articles listing is the Event Production & Planning topic hub (paginated). Homepage also lists articles.,site:bizbash.com/production-strategy/event-production-planning
1,Brides,brides.com,Editorial wedding ideas + trends,US,sid-curated,0,"Sid: Editorial wedding ideas, trends, and decor. Reliable and current.",https://www.brides.com/,medium,"Site is live but the WebFetch proxy returns HTTP 403 on every path (bot-block), so the dedicated 'Ideas & Advice' section URL could not be confirmed. Homepage given as the safe broad entry point; a scraper can reach the ideas/planning articles from nav.","site:brides.com (""party ideas"" OR ""birthday party"" OR ""party theme"" OR ""party decorations"")"
1,Classpop,classpop.com,Experience/class-based activities,US,sid-curated,0,Sid: Experience and class based activities. Fits interactive party ideas and Beauty and Spa adjacent sessions.,https://www.classpop.com/magazine,high,"Content section labeled 'Magazine'. Verified: lists articles/idea posts across Celebrations, Holiday Guides, Crafts, Food, etc.",site:classpop.com/magazine
1,Gigsalad,gigsalad.com,Performer/entertainment marketplace,US,sid-curated,0,Sid: Performer and entertainment marketplace. Good signal for act types and entertainment ideas mapped by event.,https://www.gigsalad.com/party-ideas,high,Dedicated 'Party ideas' index labeled in nav; verified as broad hub (11 categories + 'Browse all party ideas' link). Site also has a general /blog for all posts.,site:gigsalad.com/party-ideas
1,Greenvelope,greenvelope.com,Adult party themes + taxonomy,US,sid-curated,0,Sid: Wide range of adult party themes across moods and energy levels. Good theme taxonomy.,https://www.greenvelope.com/blog/,high,"Section labeled 'Blog'. Verified: Greenvelope Blog, party/wedding/event posts across Wedding/Parties/Professional categories, paginated to 137 pages.",site:greenvelope.com/blog
1,Greenweddingshoes,greenweddingshoes.com,Styled shoots + real weddings,US,sid-curated,0,Sid: Styled shoots and real weddings. Strong for Photography and Videography and decor inspiration.,https://greenweddingshoes.com/blog/,high,"""Blog"" — broadest all-posts index (canonical /blog/, paginated); site is a wedding inspiration blog",site:greenweddingshoes.com/blog
1,Groopeze,groopeze.com,200+ grown-up themes + activities,US,sid-curated,0,Sid: 200 plus grown up themes tied to entertainment and activity ideas. Strong for adult activation concepts.,https://www.groopeze.com/blog,high,"""Blog | Groopeze"" (Newsroom) — group activity/party ideas index, paginated by category; confirmed",site:groopeze.com/blog
1,Laurajadeprado,laurajadeprado.com,Full party plans (invite/decor/menu/playlist),US,sid-curated,0,"Sid: Complete party plans covering invites, decor, menu, and playlist. Ideal structured template per theme.",https://laurajadeprado.com/blog-2/,high,"""All Posts"" — full blog archive, 23+ pages incl. party/DIY posts; confirmed",site:laurajadeprado.com/blog-2
1,Partyslate,partyslate.com,Luxury real events + venues,US,sid-curated,0,Sid: Luxury real events from professional planners. Best source for Venues and Event Production inspiration.,https://www.partyslate.com/best-of,high,"""The Best Of"" — editorial articles/ideas hub (articles.partyslate.com redirects here). /blog, /ideas, /articles all 404",site:partyslate.com/best-of
1,Projectnursery,projectnursery.com,First birthday + kids party themes,US,sid-curated,0,Sid: First birthday and kids party themes at volume. Strong kids category coverage.,https://blog.projectnursery.com/,high,"""Project Nursery Blog"" — apex domain redirects to shop.projectnursery.com; blog lives on blog. subdomain; confirmed",site:blog.projectnursery.com
1,Sugarandcharm,sugarandcharm.com,Entertaining + cocktails + hosting,US,sid-curated,0,"Sid: Entertaining, cocktails, and hosting. Fills Food and Beverage and adult gathering ideas.",https://sugarandcharm.com/category/parties,high,"""Entertaining Archives"" — party/entertaining ideas category, paginated; confirmed (recipes are separate)",site:sugarandcharm.com/category/parties
1,Tagvenue,tagvenue.com,Venue-focused + adult theme guides,UK/US,sid-curated,0,Sid: Venue focused with large adult theme guides. Supports Venues plus broad theme discovery.,https://www.tagvenue.com/blog/,high,"""Tagvenue Blog"" — event planning ideas & inspiration hub; confirmed",site:tagvenue.com/blog
